Gene,Treatment1,Treatment2,Treatment3,Vector1,Vector2,Vector3,KO1,KO2,KO3,WT1,WT2,WT3
CARS,12.83476458,12.47408874,12.81043,12.93579491,13.02934854,13.04254589,12.60585473,12.65294557,12.47402826,12.8198405,13.11873323,12.95524602
SLC22A18,10.32631718,9.261028102,10.42380036,11.00484302,11.35925103,11.31324248,9.479592209,9.544730209,9.30571717,10.94602711,11.24525884,11.18289747
CD81,13.45546762,12.74831424,13.35232352,13.86025636,14.09776056,14.04323571,13.46041884,13.49676139,13.40953939,13.84055374,14.18617831,14.12530452
SLC35F2,11.77289708,12.36909678,11.75710515,11.73067131,11.57811937,11.69119276,12.67902341,12.68298938,12.6612935,11.88846494,12.03515051,11.96119776
C11orf21,5.754146649,4.769427317,5.078100965,5.124611752,5.500782048,4.719824224,4.376859979,4.915055833,4.714449674,6.17271408,6.415931448,6.098896677
ELMOD1,6.991578241,6.507511258,6.913730482,8.541329365,8.993300575,8.805978394,8.885815319,8.782423373,8.657851063,8.179720674,8.134586027,8.1808445
C11orf58,13.29581164,13.44919326,13.18637391,13.4209623,13.19465763,13.30045624,13.32120407,13.28267133,13.41483297,13.1024217,13.13340484,13.15197588
PITPNM1,13.52322266,13.13923435,13.40842132,13.70008932,13.8493015,13.78962986,14.0377449,13.94839876,13.91094744,13.70262567,13.88424757,13.88998954
RPS13,13.61262626,14.0510406,13.78825095,13.86069923,13.77196932,13.73849795,13.75800788,13.76454304,13.75570945,13.20427948,13.33713859,13.190646
AIP,12.52409292,12.39108957,12.74355242,12.23402469,12.16189159,12.23455107,12.50780827,12.47586281,12.40912347,12.28207893,12.52933332,12.60916991
NUP98,12.50187291,12.84511536,12.28814934,12.91099263,12.81657532,12.80090057,12.97586722,13.08882638,13.01622153,12.75234129,12.70565662,12.68987966
NDUFS8,12.69839032,12.7835798,12.95067799,12.61146326,12.49189381,12.6191549,12.74290314,12.69491874,12.71892171,12.35420377,12.54825683,12.54724932
TCIRG1,11.91524416,11.64862767,12.14426819,11.34523469,11.60237414,11.60530518,12.29613661,12.17735319,12.18421327,12.04232144,12.09520879,12.20793948
CHKA,10.03992954,10.42082759,10.06321823,9.988597501,9.924397621,9.906984696,10.31567567,10.27779529,10.25335652,9.800367516,9.914163259,9.754388306
EXPH5,7.574120008,7.806167033,7.096433226,5.892329795,5.718076424,5.623947538,5.827552206,5.871744104,5.758942512,5.852639161,5.646414922,5.854726577
HPS5,10.80482821,10.98857821,10.6346149,11.23817831,11.19685203,11.17727132,11.48926314,11.52212696,11.44952356,11.1079642,11.15642589,11.13976249
POU2AF1,6.404575312,6.677277442,7.087400479,5.827297551,5.67819244,5.704594126,6.26789577,6.498298572,6.42044889,6.425749773,6.446375198,6.539522556
VWF,5.810874536,5.586366508,5.434739278,6.609233361,6.54839125,6.622247948,5.389252859,5.298695117,5.605428278,6.271982439,6.319985933,6.508098921
PSMD9,9.324944991,9.541553726,9.478590575,9.231926344,9.082750979,9.234474546,9.231523914,9.125433283,9.222507719,8.832092828,9.085796974,9.165744992
LEPREL2,13.12812628,12.38337793,13.24879261,13.87370317,13.99158093,13.99662265,13.7246465,13.67402927,13.58294027,13.61547543,13.95366476,13.83893614
PPFIBP1,12.90470307,12.50802924,12.68972995,13.07569794,13.1373274,13.07919209,13.17686461,13.22786262,13.18044633,13.22911659,13.12995797,13.08959576
